indivi	master	datmet	datmea	datstd	locate	countr	latitu	longit	warnin	timind	sntind
I1994	I1994	Direct	2904	37	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	FALSE	TRUE
I6194	I6194	Context	2950	115	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	Xcontam=0.008	TRUE	TRUE
I6195	I6195	Direct	2911	31	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	TRUE	TRUE
I6197	I6197	Context	2950	115	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	Xcontam=0.005	TRUE	TRUE
I6198	I6198	Context	2950	115	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	TRUE	TRUE
I6897	I6897	Context	2950	115	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	TRUE	TRUE
I6899	I6899	Direct	2811	31	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	FALSE	TRUE
I6900	I6900	Direct	3216	77	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	mtcontam=[0.947,0.975]	TRUE	TRUE
I6901	I6901	Context	2950	115	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	TRUE	TRUE
I8190	I8190	Direct	2847	45	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	FALSE	TRUE
I3261	I3261	Context	2950	115	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	FALSE	TRUE
I3260	I3260	Direct	2908	29	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	mtcontam=[0.894,0.974]	FALSE	TRUE
I3262	I3262	Direct	2844	41	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	..	TRUE	TRUE
I1992	I1992	Direct	3025	55	Swat__Valley,__Udegram	Pakistan	34.74319444	72.31421667	mtcontam=[0.701,0.876]	TRUE	FALSE
S_Palestinian-1.DG	HGDP00722	Modern	0	0	..	Israel	32	35	..	FALSE	FALSE
S_Palestinian-2.DG	HGDP00725	Modern	0	0	..	Israel	32	35	..	FALSE	FALSE
S_Palestinian-3.DG	HGDP00737	Modern	0	0	..	Israel	32	35	..	FALSE	FALSE
HGDP00675.DG	HGDP00675	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00676.DG	HGDP00676	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00677.DG	HGDP00677	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00679.DG	HGDP00679	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00680.DG	HGDP00680	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00683.DG	HGDP00683	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00684.DG	HGDP00684	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00685.DG	HGDP00685	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00686.DG	HGDP00686	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00687.DG	HGDP00687	Modern	0	0	..	Israel	31	35	..	FALSE	TRUE
HGDP00688.DG	HGDP00688	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
HGDP00689.DG	HGDP00689	Modern	0	0	..	Israel	32	35	..	FALSE	TRUE
